Man1,Man2,Man3,Serv1,Serv2,Serv3,Serv4
0.0017699218,-0.001264848,0.0108896131,-0.009960211,-0.002621492,-0.006220394,-0.014953787
-0.007907287,-0.006388352,-0.001544931,0.001693985,0.0010682399,-0.002768449,-0.002255526
-0.004001129,-0.011452481,-0.00141464,0.0059159432,0.0023999023,0.0079281425,0.0049706279
0.0119419256,0.0074985334,-0.000625594,0.0226585451,0.0113469693,0.0040591639,0.0099743002
-0.013604345,-0.004510809,-0.000196981,-0.02032484,0.0051434196,0.0077438991,-0.020880177
0.004967501,0.0202521743,0.0215942248,0.018218284,0.011912859,0.0328237754,0.0085479665
0.0168208701,-0.002969489,0.0049189566,0.005546883,-0.002620861,0.0006252188,0.0031626083
0.0003028188,0.0096369644,-0.000063737,0.0052296472,0.0009513155,0.0052650494,0.0137233648
-0.009807169,0.0063671134,0.0141232962,-0.010833483,-0.001289917,-0.000947616,-0.013395104
0.0032759556,0.0052428827,0.01046916,-0.005926216,-0.003404273,-0.008744507,-0.014812288
0.0020588295,-0.022195981,-0.000464882,-0.01489122,0.0010995674,-0.008852638,-0.014547437
0.0282025841,0.0349214712,0.0121726832,0.0226698734,-0.01235218,-0.006627267,-0.00192575
-0.010358822,0.0027013978,-0.007032281,0.0191210065,0.0043285886,0.0020603488,-0.002589619
-0.007972525,0.0016253233,0.0038762916,-0.00202422,0.0024349286,0.004740445,0.0016908589
-0.001973012,-0.002296545,0.0086763806,0.002576317,0.0076391308,0.0089799848,0.0033193797
-0.018030383,0.0038617685,0.0024562358,-0.00305715,-0.000803881,0.0160700622,0.0070959773
0.0153442316,0.017340505,0.0151397029,-0.000204902,0.0111785933,0.0027977502,0.0044738959
0.0081239976,-0.004077297,0.011979688,-0.013812047,-0.014304673,0.0066036975,0.0213714996
-0.028247383,-0.000448938,-0.002034049,-0.015287144,-0.019537137,-0.007285943,-0.020982151
-0.01475237,-0.000517962,-0.009871169,-0.01424597,-0.012274956,-0.003396821,-0.002918865
0.0002332434,0.0110358334,0.0077642541,0.0016617892,0.0130978188,0.0107543305,0.02107791
0.0031335307,0.000509136,0.0011661327,0.0046709547,-0.005567828,0.0182790448,-0.005305479
0.0007724948,0.0052897238,0.003486605,-0.011000025,-0.00049947,0.0031104784,0.0042518393
0.0064782886,0.0089851254,-0.000076294,0.0164251993,-0.008855772,0.0108866308,0.006934884
0.0129330979,0.0050633482,-0.007636715,-0.00799724,0.0159952703,0.0061191476,0.0107651873
0.0040929381,-0.008404114,-0.013427292,0.0119005402,-0.00023352,0.0089470217,-0.003532071
0.0044139619,0.0157722655,0.0042628327,-0.002548393,-0.009107789,0.0029936279,-0.005113516
-0.00192273,-0.009486634,0.0076108793,-0.006135063,-0.009855525,0.0216057703,-0.004457178
0.0187872476,0.0195132572,0.0166917142,-0.003317172,-0.001255502,0.0042074667,-0.000261976
0.0073026234,0.0003070988,-0.000302306,0.0090834313,-0.001644411,-0.001482595,0.0051871374
0.0174661974,0.0234602648,0.0040409526,-0.002679968,0.0062959597,0.0022694773,0.0097555351
-0.000759494,0.00811035,-0.004133729,0.0022600153,0.0040861265,0.0087770552,0.0044678095
0.0006690351,0.0086535778,0.0139096623,-0.005039553,0.0034162608,0.025677774,0.0009375169
0.0051681654,0.0174796532,0.0062874086,-0.00097891,0.0196215681,0.0120111125,0.0140396243
-0.002304902,0.0102881711,0.0222801161,0.0041663668,0.0048860225,0.0047673926,-0.012503452
-0.013046545,-0.010319816,-0.012447957,0.0038163578,-0.024577384,0.0037020362,0.0100654265
-0.000114788,0.0034801093,0.0078020028,-0.005722037,-0.011128793,-0.024906553,-0.016151564
-0.007863695,-0.006421512,0.0027718637,0.0007453703,-0.015046173,0.0007296168,0.002536706
-0.00713478,0.0043969724,-0.002746967,-0.014831337,0.0137127574,0.0008153897,0.0106094179
